Regio_Naam,Bottleneck_2Jaar_Pct_Avg,Bottleneck_5Jaar_Pct_Avg,Vergunning_Fase_Pct_Avg,Bouw_Fase_Pct_Avg,Crisis_Regio,Rank
Veere,21.98,6.1,68.49,31.51,1,162
Lelystad,21.97,12.88,35.73,64.27,1,163
Berkelland,21.97,8.64,51.86,48.14,1,164
Oss,21.92,5.21,49.44,50.56,1,165
Buren,21.91,8.6,53.94,46.06,1,166
Barendrecht,21.84,7.7,73.75,26.25,1,167
Nuth,21.8,17.24,27.86,8.5,1,168
Sint Anthonis,21.63,8.84,29.47,34.17,1,169
Laarbeek,21.55,5.46,47.76,52.24,1,170
Bodegraven-Reeuwijk,21.53,3.33,56.54,43.46,1,171
Hilvarenbeek,21.47,7.03,46.71,53.29,1,172
Katwijk,21.44,1.51,50.52,49.48,1,173
Waalre,21.39,4.4,87.81,12.19,1,174
Hilversum,21.37,1.92,54.96,45.04,1,175
Zeist,21.32,1.79,44.96,55.04,1,176
Putten,21.31,1.64,51.33,48.67,1,177
Haaksbergen,21.24,7.09,44.7,55.3,1,178
Houten,21.18,7.77,55.79,44.21,1,179
Heerenveen,21.07,4.97,58.92,41.08,1,180
Texel,21.04,3.64,51.7,48.3,1,181
Drechterland,20.92,13.66,43.18,56.82,1,182
Zoeterwoude,20.91,1.11,37.53,62.47,1,183
Opmeer,20.88,0.74,45.74,54.26,1,184
Twenterand,20.8,8.4,75.42,24.58,1,185
Enschede,20.78,7.74,43.43,56.57,1,186
Zwijndrecht,20.77,1.25,74.73,25.27,1,187
Ommen,20.75,10.12,50.64,49.36,1,188
Beekdaelen,20.74,6.37,52.86,10.77,1,189
Aalten,20.65,7.28,56.16,43.84,1,190
Lopik,20.63,1.46,63.88,36.12,1,191
Stede Broec,20.57,6.05,35.02,64.98,1,192
Nederweert,20.55,5.7,39.96,60.04,1,193
Waadhoeke,20.37,9.29,47.27,25.46,1,194
Dantumadiel,20.19,3.79,56.61,43.39,1,195
Oldebroek,19.94,5.26,55.68,44.32,1,196
Uithoorn,19.87,2.84,57.86,42.14,1,197
Haarlemmermeer,19.87,4.74,42.98,57.02,1,198
Beverwijk,19.86,5.78,42.34,57.66,1,199
Langedijk,19.86,4.62,30.63,33.01,1,200
Doetinchem,19.85,3.79,66.22,33.78,1,201
Boxtel,19.68,1.28,56.16,43.84,1,202
Breda,19.65,1.05,56.08,43.92,1,203
Venray,19.62,5.46,61.37,38.63,1,204
Wageningen,19.56,2.46,63.8,36.2,1,205
Cuijk,19.56,9.21,33.28,30.36,1,206
Raalte,19.43,5.48,51.27,48.73,1,207
Nissewaard,19.41,10.77,70.9,29.1,1,208
Haarlem,19.37,0.15,81.51,18.49,1,209
Maasdriel,19.3,8.69,71.3,28.7,1,210
Oosterhout,19.28,3.14,39.21,60.79,1,211
Hollands Kroon,19.2,6.41,55.6,44.4,1,212
Molenwaard,19.2,11.56,32.85,3.51,1,213
Hoorn,19.11,2.52,57.19,42.81,1,214
Nunspeet,19.01,3.45,81.52,18.48,1,215
Someren,19.01,7.17,43.0,57.0,1,216
Aa en Hunze,18.96,5.44,65.3,34.7,1,217
Drimmelen,18.77,3.33,43.61,56.39,1,218
Maastricht,18.72,1.85,56.92,43.08,1,219
Nieuwkoop,18.71,10.1,41.7,58.3,1,220
Hengelo (O.),18.7,9.11,34.16,65.84,1,221
Zaltbommel,18.69,3.4,53.73,46.27,1,222
Zederik,18.63,9.18,23.85,12.52,1,223
Scherpenzeel,18.54,1.34,42.56,57.44,1,224
Loon op Zand,18.5,1.79,45.58,54.42,1,225
Westland,18.42,2.66,70.42,29.58,1,226
Tubbergen,18.36,5.94,33.76,66.24,1,227
Gouda,18.33,8.44,42.37,57.63,1,228
Noordoostpolder,18.31,3.12,48.16,51.84,1,229
Emmen,18.04,3.07,57.97,42.03,1,230
Smallingerland,18.0,3.1,60.38,39.62,1,231
